sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for residence and migration of first-time undergraduate students: Fall 2022,,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2022C
Introduction,4,  Provisional release:,January 2024
Introduction,5,Filename,EF2022C_RV
Introduction,6,  Final release:,December 2024
Introduction,7,Overview,"This file contains the number of first-time freshmen by state of residence, along with data on the number who graduated from high school the previous year.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the state of residence (EFCSTATE).   
",,,,,,,,
Introduction,8,Note,Submission of enrollment of first-time undergraduate students by residency is mandatory in even-numbered years and optional in odd-numbered years. Do not use these data in odd-numbered years to produce national or state estimates as data will not be available from all institutions. Data in optional years are provided to allow users to compare institutional level data among reporting institutions.,,,,,,,,
Introduction,9,,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Final release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Final release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
Varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
Varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
Varlist,2,20546,EFCSTATE,N,2,Disc,,State of residence when student was first admitted
Varlist,3,21993,LINE,N,3,Disc,,State of residence  (original line number on survey form)
Varlist,4,20551,EFRES01,N,6,Cont,XEFRES01,First-time degree/certificate-seeking undergraduate students
Varlist,5,20556,EFRES02,N,6,Cont,XEFRES02,First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,20546,EFCSTATE,"Residence of First-time Freshmen 
State of residence of first-time, first-year degree-seeking student, when first admitted,
state codes are consistent with state fips codes.

STATE OF RESIDENCE - A person’s permanent address as determined by such evidence as a driver’s license or voter registration. For entering freshmen, state of residence may be the legal state of residence of a parent or guardian."
Frequencies,36,20546,EFCSTATE,37,North Carolina,1379,1.93
Frequencies,37,20546,EFCSTATE,38,North Dakota,351,0.49
Frequencies,38,20546,EFCSTATE,39,Ohio,1597,2.2400000000000002
Frequencies,39,20546,EFCSTATE,40,Oklahoma,913,1.28
Frequencies,40,20546,EFCSTATE,41,Oregon,953,1.33
Frequencies,41,20546,EFCSTATE,42,Pennsylvania,1725,2.42
Frequencies,42,20546,EFCSTATE,44,Rhode Island,557,0.78
Frequencies,43,20546,EFCSTATE,45,South Carolina,1074,1.5
Frequencies,44,20546,EFCSTATE,46,South Dakota,455,0.64
Frequencies,45,20546,EFCSTATE,47,Tennessee,1300,1.82
Frequencies,46,20546,EFCSTATE,48,Texas,2197,3.08
Frequencies,47,20546,EFCSTATE,49,Utah,748,1.05
Frequencies,48,20546,EFCSTATE,50,Vermont,520,0.73
Frequencies,49,20546,EFCSTATE,51,Virginia,1497,2.1
Frequencies,50,20546,EFCSTATE,53,Washington,1287,1.8
Frequencies,51,20546,EFCSTATE,54,West Virginia,609,0.85
Frequencies,52,20546,EFCSTATE,55,Wisconsin,1205,1.69
Frequencies,53,20546,EFCSTATE,56,Wyoming,388,0.54
Frequencies,54,20546,EFCSTATE,57,State unknown,731,1.02
Frequencies,55,20546,EFCSTATE,89,Outlying areas total,684,0.96
Frequencies,56,20546,EFCSTATE,60,American Samoa,45,0.06
Frequencies,57,20546,EFCSTATE,64,Federated States of Micronesia,13,0.02
Frequencies,58,20546,EFCSTATE,66,Guam,136,0.19
Frequencies,59,20546,EFCSTATE,68,Marshall Islands,5,0.01
Frequencies,60,20546,EFCSTATE,69,Northern Marianas,45,0.06
Frequencies,61,20546,EFCSTATE,70,Palau,11,0.02
Frequencies,62,20546,EFCSTATE,72,Puerto Rico,472,0.66
Frequencies,63,20546,EFCSTATE,78,Virgin Islands,133,0.19
Frequencies,64,20546,EFCSTATE,90,Foreign countries,1921,2.69
Frequencies,65,20546,EFCSTATE,98,Residence not reported,963,1.35
Frequencies,66,21993,LINE,1,Alabama,1025,1.44
Frequencies,67,21993,LINE,2,Alaska,622,0.87
Frequencies,68,21993,LINE,4,Arizona,1323,1.85
Frequencies,69,21993,LINE,5,Arkansas,847,1.19
Frequencies,70,21993,LINE,6,California,2255,3.16
Frequencies,71,21993,LINE,8,Colorado,1444,2.02
Frequencies,72,21993,LINE,9,Connecticut,1085,1.52
Frequencies,73,21993,LINE,10,Delaware,670,0.94
Frequencies,74,21993,LINE,11,District of Columbia,533,0.75
Frequencies,75,21993,LINE,12,Florida,2088,2.92
Frequencies,76,21993,LINE,13,Georgia,1596,2.2400000000000002
Frequencies,77,21993,LINE,15,Hawaii,744,1.04
Frequencies,78,21993,LINE,16,Idaho,696,0.97
Frequencies,79,21993,LINE,17,Illinois,1738,2.4300000000000002
Frequencies,80,21993,LINE,18,Indiana,1304,1.83
Frequencies,81,21993,LINE,19,Iowa,824,1.1499999999999999
Frequencies,82,21993,LINE,20,Kansas,904,1.27
Frequencies,83,21993,LINE,21,Kentucky,994,1.39
Frequencies,84,21993,LINE,22,Louisiana,1033,1.45
Frequencies,85,21993,LINE,23,Maine,658,0.92
Frequencies,86,21993,LINE,24,Maryland,1410,1.97
Frequencies,87,21993,LINE,25,Massachusetts,1175,1.65
Frequencies,88,21993,LINE,26,Michigan,1373,1.92
Frequencies,89,21993,LINE,27,Minnesota,1210,1.69
Frequencies,90,21993,LINE,28,Mississippi,670,0.94
Frequencies,91,21993,LINE,29,Missouri,1261,1.77
Frequencies,92,21993,LINE,30,Montana,583,0.82
Frequencies,93,21993,LINE,31,Nebraska,723,1.01
Frequencies,94,21993,LINE,32,Nevada,1011,1.42
Frequencies,95,21993,LINE,33,New Hampshire,735,1.03
Frequencies,96,21993,LINE,34,New Jersey,1509,2.11
Frequencies,97,21993,LINE,35,New Mexico,713,1
Frequencies,98,21993,LINE,36,New York,1833,2.57
Frequencies,99,21993,LINE,37,North Carolina,1379,1.93
Frequencies,100,21993,LINE,38,North Dakota,351,0.49
Frequencies,101,21993,LINE,39,Ohio,1597,2.2400000000000002
Frequencies,102,21993,LINE,40,Oklahoma,913,1.28
Frequencies,103,21993,LINE,41,Oregon,953,1.33
Frequencies,104,21993,LINE,42,Pennsylvania,1725,2.42
Frequencies,105,21993,LINE,44,Rhode Island,557,0.78
Frequencies,106,21993,LINE,45,South Carolina,1074,1.5
Frequencies,107,21993,LINE,46,South Dakota,455,0.64
Frequencies,108,21993,LINE,47,Tennessee,1300,1.82
Frequencies,109,21993,LINE,48,Texas,2197,3.08
Frequencies,110,21993,LINE,49,Utah,748,1.05
Frequencies,111,21993,LINE,50,Vermont,520,0.73
Frequencies,112,21993,LINE,51,Virginia,1497,2.1
Frequencies,113,21993,LINE,53,Washington,1287,1.8
Frequencies,114,21993,LINE,54,West Virginia,609,0.85
Frequencies,115,21993,LINE,55,Wisconsin,1205,1.69
Frequencies,116,21993,LINE,56,Wyoming,388,0.54
Frequencies,117,21993,LINE,57,State unknown,731,1.02
Frequencies,118,21993,LINE,60,American Samoa,45,0.06
Frequencies,119,21993,LINE,64,Federated States of Micronesia,13,0.02
Frequencies,120,21993,LINE,66,Guam,136,0.19
Frequencies,121,21993,LINE,68,Marshall Islands,5,0.01
Frequencies,122,21993,LINE,69,Northern Marianas,45,0.06
Frequencies,123,21993,LINE,70,Palau,11,0.02
Frequencies,124,21993,LINE,72,Puerto Rico,472,0.66
Frequencies,125,21993,LINE,78,Virgin Islands,133,0.19
Frequencies,126,21993,LINE,90,Foreign countries,1921,2.69
Frequencies,127,21993,LINE,98,Residence not reported (balance line),963,1.35
Frequencies,128,21993,LINE,99,"Grand total, all first-time students",5504,7.71
Frequencies,129,21993,LINE,999,Generated record not on original survey form,6071,8.5
Frequencies,130,,,,,,
Frequencies,131,,,,,,
Frequencies,132,,,,,,
Frequencies,133,,,,,,
Frequencies,134,,,,,,
Frequencies,135,,,,,,
Frequencies,136,,,,,,
Frequencies,137,,,,,,
Frequencies,138,,,,,,
Frequencies,139,,,,,,
Frequencies,140,,,,,,
Frequencies,141,,,,,,
Frequencies,142,,,,,,
Frequencies,143,,,,,,
Frequencies,144,,,,,,
Frequencies,145,,,,,,
Frequencies,146,,,,,,
Frequencies,147,,,,,,
Frequencies,148,,,,,,
Frequencies,149,,,,,,
Frequencies,150,,,,,,
Frequencies,151,,,,,,
Frequencies,152,,,,,,
Frequencies,153,,,,,,
Frequencies,154,,,,,,
Frequencies,155,,,,,,
Frequencies,156,,,,,,
Frequencies,157,,,,,,
Frequencies,158,,,,,,
Frequencies,159,,,,,,
Frequencies,160,,,,,,
Frequencies,161,,,,,,
Frequencies,162,,,,,,
Frequencies,163,,,,,,
Frequencies,164,,,,,,
Frequencies,165,,,,,,
Frequencies,166,,,,,,
Frequencies,167,,,,,,
Frequencies,168,,,,,,
Frequencies,169,,,,,,
Frequencies,170,,,,,,
Frequencies,171,,,,,,
Frequencies,172,,,,,,
Frequencies,173,,,,,,
Frequencies,174,,,,,,
Frequencies,175,,,,,,
Frequencies,176,,,,,,
Frequencies,177,,,,,,
Frequencies,178,,,,,,
Frequencies,179,,,,,,
Frequencies,180,,,,,,
Frequencies,181,,,,,,
Frequencies,182,,,,,,
Frequencies,183,,,,,,
Frequencies,184,,,,,,
Frequencies,185,,,,,,
Frequencies,186,,,,,,
Frequencies,187,,,,,,
Frequencies,188,,,,,,
Frequencies,189,,,,,,
Frequencies,190,,,,,,
Frequencies,191,,,,,,
Frequencies,192,,,,,,
Frequencies,193,,,,,,
Frequencies,194,,,,,,
Frequencies,195,,,,,,
Frequencies,196,,,,,,
Frequencies,197,,,,,,
Frequencies,198,,,,,,
Frequencies,199,,,,,,
Frequencies,200,,,,,,
Frequencies,201,,,,,,
Frequencies,202,,,,,,
Frequencies,203,,,,,,
Frequencies,204,,,,,,
Frequencies,205,,,,,,
Frequencies,206,,,,,,
Frequencies,207,,,,,,
Frequencies,208,,,,,,
Frequencies,209,,,,,,
Frequencies,210,,,,,,
Frequencies,211,,,,,,
Frequencies,212,,,,,,
Frequencies,213,,,,,,
Frequencies,214,,,,,,
Frequencies,215,,,,,,
Frequencies,216,,,,,,
Frequencies,217,,,,,,
Frequencies,218,,,,,,
Frequencies,219,,,,,,
Frequencies,220,,,,,,
Frequencies,221,,,,,,
Frequencies,222,,,,,,
Frequencies,223,,,,,,
Frequencies,224,,,,,,
Frequencies,225,,,,,,
Frequencies,226,,,,,,
Frequencies,227,,,,,,
Frequencies,228,,,,,,
Frequencies,229,,,,,,
Frequencies,230,,,,,,
Frequencies,231,,,,,,
Frequencies,232,,,,,,
Frequencies,233,,,,,,
Frequencies,234,,,,,,
Frequencies,235,,,,,,
Frequencies,236,,,,,,
Frequencies,237,,,,,,
Frequencies,238,,,,,,
Frequencies,239,,,,,,
Frequencies,240,,,,,,
Frequencies,241,,,,,,
Frequencies,242,,,,,,
Frequencies,243,,,,,,
Frequencies,244,,,,,,
Frequencies,245,,,,,,
Frequencies,246,,,,,,
Frequencies,247,,,,,,
Frequencies,248,,,,,,
Frequencies,249,,,,,,
Frequencies,250,,,,,,
Frequencies,251,,,,,,
Frequencies,252,,,,,,
Frequencies,253,,,,,,
Frequencies,254,,,,,,
Frequencies,255,,,,,,
Frequencies,256,,,,,,
Frequencies,257,,,,,,
Frequencies,258,,,,,,
Frequencies,259,,,,,,
Frequencies,260,,,,,,
Frequencies,261,,,,,,
Frequencies,262,,,,,,
Frequencies,263,,,,,,
Frequencies,264,,,,,,
Frequencies,265,,,,,,
Frequencies,266,,,,,,
Frequencies,267,,,,,,
Frequencies,268,,,,,,
Frequencies,269,,,,,,
Frequencies,270,,,,,,
Frequencies,271,,,,,,
Frequencies,272,,,,,,
Frequencies,273,,,,,,
Frequencies,274,,,,,,
Frequencies,275,,,,,,
Frequencies,276,,,,,,
Frequencies,277,,,,,,
Frequencies,278,,,,,,
Frequencies,279,,,,,,
Frequencies,280,,,,,,
Frequencies,281,,,,,,
Frequencies,282,,,,,,
Frequencies,283,,,,,,
Frequencies,284,,,,,,
Frequencies,285,,,,,,
Frequencies,286,,,,,,
Frequencies,287,,,,,,
Frequencies,288,,,,,,
Frequencies,289,,,,,,
Frequencies,290,,,,,,
Frequencies,291,,,,,,
Frequencies,292,,,,,,
Frequencies,293,,,,,,
Frequencies,294,,,,,,
Frequencies,295,,,,,,
Frequencies,296,,,,,,
Frequencies,297,,,,,,
Frequencies,298,,,,,,
Frequencies,299,,,,,,
Frequencies,300,,,,,,
Frequencies,301,,,,,,
Frequencies,302,,,,,,
Frequencies,303,,,,,,
Frequencies,304,,,,,,
Frequencies,305,,,,,,
Frequencies,306,,,,,,
Frequencies,307,,,,,,
Frequencies,308,,,,,,
Frequencies,309,,,,,,
Frequencies,310,,,,,,
Frequencies,311,,,,,,
Frequencies,312,,,,,,
Frequencies,313,,,,,,
Frequencies,314,,,,,,
Frequencies,315,,,,,,
Frequencies,316,,,,,,
Frequencies,317,,,,,,
Frequencies,318,,,,,,
Frequencies,319,,,,,,
Frequencies,320,,,,,,
Frequencies,321,,,,,,
Frequencies,322,,,,,,
Frequencies,323,,,,,,
Frequencies,324,,,,,,
Frequencies,325,,,,,,
Frequencies,326,,,,,,
Frequencies,327,,,,,,
Frequencies,328,,,,,,
Frequencies,329,,,,,,
Frequencies,330,,,,,,
Frequencies,331,,,,,,
Frequencies,332,,,,,,
Frequencies,333,,,,,,
Frequencies,334,,,,,,
Frequencies,335,,,,,,
Frequencies,336,,,,,,
Frequencies,337,,,,,,
Frequencies,338,,,,,,
Frequencies,339,,,,,,
Frequencies,340,,,,,,
Frequencies,341,,,,,,
Frequencies,342,,,,,,
Frequencies,343,,,,,,
Frequencies,344,,,,,,
Frequencies,345,,,,,,
Frequencies,346,,,,,,
Frequencies,347,,,,,,
Frequencies,348,,,,,,
Frequencies,349,,,,,,
Frequencies,350,,,,,,
Frequencies,351,,,,,,
Frequencies,352,,,,,,
Frequencies,353,,,,,,
Frequencies,354,,,,,,
Frequencies,355,,,,,,
Frequencies,356,,,,,,
Frequencies,357,,,,,,
Frequencies,358,,,,,,
Frequencies,359,,,,,,
Frequencies,360,,,,,,
Frequencies,361,,,,,,
Frequencies,362,,,,,,
Frequencies,363,,,,,,
Frequencies,364,,,,,,
Frequencies,365,,,,,,
Frequencies,366,,,,,,
Frequencies,367,,,,,,
Frequencies,368,,,,,,
Frequencies,369,,,,,,
Frequencies,370,,,,,,
Frequencies,371,,,,,,
Frequencies,372,,,,,,
Frequencies,373,,,,,,
Frequencies,374,,,,,,
Frequencies,375,,,,,,
Frequencies,376,,,,,,
Frequencies,377,,,,,,
Frequencies,378,,,,,,
Frequencies,379,,,,,,
Frequencies,380,,,,,,
Frequencies,381,,,,,,
Frequencies,382,,,,,,
Frequencies,383,,,,,,
Frequencies,384,,,,,,
Frequencies,385,,,,,,
Frequencies,386,,,,,,
Frequencies,387,,,,,,
Frequencies,388,,,,,,
Frequencies,389,,,,,,
Frequencies,390,,,,,,
Frequencies,391,,,,,,
Frequencies,392,,,,,,
Frequencies,393,,,,,,
Frequencies,394,,,,,,
Frequencies,395,,,,,,
Frequencies,396,,,,,,
Frequencies,397,,,,,,
Frequencies,398,,,,,,
Frequencies,399,,,,,,
Frequencies,400,,,,,,
Frequencies,401,,,,,,
Frequencies,402,,,,,,
Frequencies,403,,,,,,
Frequencies,404,,,,,,
Frequencies,405,,,,,,
Frequencies,406,,,,,,
Frequencies,407,,,,,,
Frequencies,408,,,,,,
Frequencies,409,,,,,,
Frequencies,410,,,,,,
Frequencies,411,,,,,,
Frequencies,412,,,,,,
Frequencies,413,,,,,,
Frequencies,414,,,,,,
Frequencies,415,,,,,,
Frequencies,416,,,,,,
Frequencies,417,,,,,,
Frequencies,418,,,,,,
Frequencies,419,,,,,,
Frequencies,420,,,,,,
Frequencies,421,,,,,,
Frequencies,422,,,,,,
Frequencies,423,,,,,,
Frequencies,424,,,,,,
Frequencies,425,,,,,,
Frequencies,426,,,,,,
Frequencies,427,,,,,,
Frequencies,428,,,,,,
Frequencies,429,,,,,,
Frequencies,430,,,,,,
Frequencies,431,,,,,,
Frequencies,432,,,,,,
Frequencies,433,,,,,,
Frequencies,434,,,,,,
Frequencies,435,,,,,,
Frequencies,436,,,,,,
Frequencies,437,,,,,,
Frequencies,438,,,,,,
Frequencies,439,,,,,,
Frequencies,440,,,,,,
Frequencies,441,,,,,,
Frequencies,442,,,,,,
Frequencies,443,,,,,,
Frequencies,444,,,,,,
Frequencies,445,,,,,,
Frequencies,446,,,,,,
Frequencies,447,,,,,,
Frequencies,448,,,,,,
Frequencies,449,,,,,,
Frequencies,450,,,,,,
Frequencies,451,,,,,,
Frequencies,452,,,,,,
Frequencies,453,,,,,,
Frequencies,454,,,,,,
Frequencies,455,,,,,,
Frequencies,456,,,,,,
Frequencies,457,,,,,,
Frequencies,458,,,,,,
Frequencies,459,,,,,,
Frequencies,460,,,,,,
Frequencies,461,,,,,,
Frequencies,462,,,,,,
Frequencies,463,,,,,,
Frequencies,464,,,,,,
Frequencies,465,,,,,,
Frequencies,466,,,,,,
Frequencies,467,,,,,,
Frequencies,468,,,,,,
Frequencies,469,,,,,,
Frequencies,470,,,,,,
Frequencies,471,,,,,,
Frequencies,472,,,,,,
Frequencies,473,,,,,,
Frequencies,474,,,,,,
Frequencies,475,,,,,,
Frequencies,476,,,,,,
Frequencies,477,,,,,,
Frequencies,478,,,,,,
Frequencies,479,,,,,,
Frequencies,480,,,,,,
Frequencies,481,,,,,,
Frequencies,482,,,,,,
Frequencies,483,,,,,,
Frequencies,484,,,,,,
Frequencies,485,,,,,,
Frequencies,486,,,,,,
Frequencies,487,,,,,,
Frequencies,488,,,,,,
Frequencies,489,,,,,,
Frequencies,490,,,,,,
Frequencies,491,,,,,,
Frequencies,492,,,,,,
Frequencies,493,,,,,,
Frequencies,494,,,,,,
Frequencies,495,,,,,,
Frequencies,496,,,,,,
Frequencies,497,,,,,,
Frequencies,498,,,,,,
Frequencies,499,,,,,,
Frequencies,500,,,,,,
Frequencies,501,,,,,,
Frequencies,502,,,,,,
Frequencies,503,,,,,,
Frequencies,504,,,,,,
Frequencies,505,,,,,,
Frequencies,506,,,,,,
Frequencies,507,,,,,,
Frequencies,508,,,,,,
Frequencies,509,,,,,,
Frequencies,510,,,,,,
Frequencies,511,,,,,,
Frequencies,512,,,,,,
Frequencies,513,,,,,,
