sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for residence and migration of first-time undergraduate students: Fall 2023,,,,,,,,,
Introduction,1,(Provisional release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2023C
Introduction,4,Overview,"This file contains the number of first-time freshmen by state of residence, along with data on the number who graduated from high school the previous year.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the state of residence (EFCSTATE).   
",,,,,,,,
Introduction,5,Note,Submission of enrollment of first-time undergraduate students by residency is mandatory in even-numbered years and optional in odd-numbered years. Do not use these data in odd-numbered years to produce national or state estimates as data will not be available from all institutions. Data in optional years are provided to allow users to compare institutional level data among reporting institutions.,,,,,,,,
Introduction,6,,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.",,,,,,,,
Introduction,7,Contents of spreadsheet,,,,,,,,,
Introduction,8,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,9,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,10,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.,,,,,,,,
Introduction,11,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,12,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
Varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
Varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
Varlist,2,20546,EFCSTATE,N,2,Disc,,State of residence when student was first admitted
Varlist,3,21993,LINE,N,3,Disc,,State of residence  (original line number on survey form)
Varlist,4,20551,EFRES01,N,6,Cont,XEFRES01,First-time degree/certificate-seeking undergraduate students
Varlist,5,20556,EFRES02,N,6,Cont,XEFRES02,First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,20546,EFCSTATE,"Residence of First-time Freshmen 
State of residence of first-time, first-year degree-seeking student, when first admitted,
state codes are consistent with state fips codes.

STATE OF RESIDENCE - A person’s permanent address as determined by such evidence as a driver’s license or voter registration. For entering freshmen, state of residence may be the legal state of residence of a parent or guardian."
Frequencies,30,20546,EFCSTATE,31,Nebraska,433,1.07
Frequencies,31,20546,EFCSTATE,32,Nevada,618,1.53
Frequencies,32,20546,EFCSTATE,33,New Hampshire,464,1.1499999999999999
Frequencies,33,20546,EFCSTATE,34,New Jersey,861,2.13
Frequencies,34,20546,EFCSTATE,35,New Mexico,465,1.1499999999999999
Frequencies,35,20546,EFCSTATE,36,New York,1056,2.61
Frequencies,36,20546,EFCSTATE,37,North Carolina,864,2.14
Frequencies,37,20546,EFCSTATE,38,North Dakota,217,0.54
Frequencies,38,20546,EFCSTATE,39,Ohio,883,2.19
Frequencies,39,20546,EFCSTATE,40,Oklahoma,536,1.33
Frequencies,40,20546,EFCSTATE,41,Oregon,571,1.41
Frequencies,41,20546,EFCSTATE,42,Pennsylvania,984,2.44
Frequencies,42,20546,EFCSTATE,44,Rhode Island,362,0.9
Frequencies,43,20546,EFCSTATE,45,South Carolina,677,1.68
Frequencies,44,20546,EFCSTATE,46,South Dakota,278,0.69
Frequencies,45,20546,EFCSTATE,47,Tennessee,785,1.94
Frequencies,46,20546,EFCSTATE,48,Texas,1245,3.08
Frequencies,47,20546,EFCSTATE,49,Utah,492,1.22
Frequencies,48,20546,EFCSTATE,50,Vermont,329,0.81
Frequencies,49,20546,EFCSTATE,51,Virginia,895,2.2200000000000002
Frequencies,50,20546,EFCSTATE,53,Washington,751,1.86
Frequencies,51,20546,EFCSTATE,54,West Virginia,352,0.87
Frequencies,52,20546,EFCSTATE,55,Wisconsin,696,1.72
Frequencies,53,20546,EFCSTATE,56,Wyoming,273,0.68
Frequencies,54,20546,EFCSTATE,57,State unknown,560,1.39
Frequencies,55,20546,EFCSTATE,89,Outlying areas total,388,0.96
Frequencies,56,20546,EFCSTATE,60,American Samoa,24,0.06
Frequencies,57,20546,EFCSTATE,64,Federated States of Micronesia,8,0.02
Frequencies,58,20546,EFCSTATE,66,Guam,94,0.23
Frequencies,59,20546,EFCSTATE,68,Marshall Islands,5,0.01
Frequencies,60,20546,EFCSTATE,69,Northern Marianas,45,0.11
Frequencies,61,20546,EFCSTATE,70,Palau,8,0.02
Frequencies,62,20546,EFCSTATE,72,Puerto Rico,273,0.68
Frequencies,63,20546,EFCSTATE,78,Virgin Islands,74,0.18
Frequencies,64,20546,EFCSTATE,90,Foreign countries,1250,3.09
Frequencies,65,20546,EFCSTATE,98,Residence not reported,372,0.92
Frequencies,66,21993,LINE,1,Alabama,599,1.48
Frequencies,67,21993,LINE,2,Alaska,392,0.97
Frequencies,68,21993,LINE,4,Arizona,824,2.04
Frequencies,69,21993,LINE,5,Arkansas,513,1.27
Frequencies,70,21993,LINE,6,California,1204,2.98
Frequencies,71,21993,LINE,8,Colorado,891,2.21
Frequencies,72,21993,LINE,9,Connecticut,655,1.62
Frequencies,73,21993,LINE,10,Delaware,440,1.0900000000000001
Frequencies,74,21993,LINE,11,District of Columbia,343,0.85
Frequencies,75,21993,LINE,12,Florida,1203,2.98
Frequencies,76,21993,LINE,13,Georgia,983,2.4300000000000002
Frequencies,77,21993,LINE,15,Hawaii,494,1.22
Frequencies,78,21993,LINE,16,Idaho,421,1.04
Frequencies,79,21993,LINE,17,Illinois,999,2.4700000000000002
Frequencies,80,21993,LINE,18,Indiana,743,1.84
Frequencies,81,21993,LINE,19,Iowa,489,1.21
Frequencies,82,21993,LINE,20,Kansas,540,1.34
Frequencies,83,21993,LINE,21,Kentucky,618,1.53
Frequencies,84,21993,LINE,22,Louisiana,607,1.5
Frequencies,85,21993,LINE,23,Maine,395,0.98
Frequencies,86,21993,LINE,24,Maryland,807,2
Frequencies,87,21993,LINE,25,Massachusetts,698,1.73
Frequencies,88,21993,LINE,26,Michigan,801,1.98
Frequencies,89,21993,LINE,27,Minnesota,682,1.69
Frequencies,90,21993,LINE,28,Mississippi,406,1.01
Frequencies,91,21993,LINE,29,Missouri,753,1.86
Frequencies,92,21993,LINE,30,Montana,348,0.86
Frequencies,93,21993,LINE,31,Nebraska,433,1.07
Frequencies,94,21993,LINE,32,Nevada,618,1.53
Frequencies,95,21993,LINE,33,New Hampshire,464,1.1499999999999999
Frequencies,96,21993,LINE,34,New Jersey,861,2.13
Frequencies,97,21993,LINE,35,New Mexico,465,1.1499999999999999
Frequencies,98,21993,LINE,36,New York,1056,2.61
Frequencies,99,21993,LINE,37,North Carolina,864,2.14
Frequencies,100,21993,LINE,38,North Dakota,217,0.54
Frequencies,101,21993,LINE,39,Ohio,883,2.19
Frequencies,102,21993,LINE,40,Oklahoma,536,1.33
Frequencies,103,21993,LINE,41,Oregon,571,1.41
Frequencies,104,21993,LINE,42,Pennsylvania,984,2.44
Frequencies,105,21993,LINE,44,Rhode Island,362,0.9
Frequencies,106,21993,LINE,45,South Carolina,677,1.68
Frequencies,107,21993,LINE,46,South Dakota,278,0.69
Frequencies,108,21993,LINE,47,Tennessee,785,1.94
Frequencies,109,21993,LINE,48,Texas,1245,3.08
Frequencies,110,21993,LINE,49,Utah,492,1.22
Frequencies,111,21993,LINE,50,Vermont,329,0.81
Frequencies,112,21993,LINE,51,Virginia,895,2.2200000000000002
Frequencies,113,21993,LINE,53,Washington,751,1.86
Frequencies,114,21993,LINE,54,West Virginia,352,0.87
Frequencies,115,21993,LINE,55,Wisconsin,696,1.72
Frequencies,116,21993,LINE,56,Wyoming,273,0.68
Frequencies,117,21993,LINE,57,State unknown,560,1.39
Frequencies,118,21993,LINE,60,American Samoa,24,0.06
Frequencies,119,21993,LINE,64,Federated States of Micronesia,8,0.02
Frequencies,120,21993,LINE,66,Guam,94,0.23
Frequencies,121,21993,LINE,68,Marshall Islands,5,0.01
Frequencies,122,21993,LINE,69,Northern Marianas,45,0.11
Frequencies,123,21993,LINE,70,Palau,8,0.02
Frequencies,124,21993,LINE,72,Puerto Rico,273,0.68
Frequencies,125,21993,LINE,78,Virgin Islands,74,0.18
Frequencies,126,21993,LINE,90,Foreign countries,1250,3.09
Frequencies,127,21993,LINE,98,Residence not reported (balance line),372,0.92
Frequencies,128,21993,LINE,99,"Grand total, all first-time students",2192,5.43
Frequencies,129,21993,LINE,999,Generated record not on original survey form,2555,6.33
Statistics,0,varnumber,varname,n,sum,mean,min,max,varTitle
Statistics,1,20551,EFRES01,40395,6712130,166.16239633618022,1,14102,First-time degree/certificate-seeking undergraduate students
Statistics,2,20556,EFRES02,40003,5337153,133.41881858860586,0,13617,First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months
imputation values,0,Code values for item imputation variables Xvarname
imputation values,1,CodeValue,ValueLabel
imputation values,2,A,Not applicable
imputation values,3,B,Institution left item blank
imputation values,4,C,Analyst corrected reported value
imputation values,5,D,Do not know
imputation values,6,G,Data generated from other data values
imputation values,7,H,Value not derived - data not usable
imputation values,8,J,Logical imputation
imputation values,9,K,Ratio adjustment 
imputation values,10,L,Imputed using the Group Median procedure
imputation values,11,N,Imputed using Nearest Neighbor procedure
imputation values,12,P,Imputed using Carry Forward procedure
imputation values,13,R,Reported
imputation values,14,Z,Implied zero;
