sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for Academic Library Data File: Fiscal year 2021,,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,AL2021,,,,,,,,
Introduction,4, Provisional release:,December 2022,,,,,,,,
Introduction,5,Filename,AL2021_RV,,,,,,,,
Introduction,6,  Final/revised release:,December 2023,,,,,,,,
Introduction,7,,,,,,,,,,
Introduction,8,Overview,"The Academic Library survey became part of the Integrated Postsecondary Education Data system in collection year 2014-15.   Data include characteristics of the library, collections, expenditures and services. The number of full-time equivalent staff employed by the library were added this fiscal year.  Library data are only applicable for degree-granting institutions.  Degree-granting institutions with total expenditures over $100,000 dollars will have expenditure data. In 2016-17 the types of collections was expanded to collect information on physical and electronic serials.",,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,,,,,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,16,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,17,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,18,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,19,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
Description,9,160300,LPSERIA,"The number of physical serial titles that are accessible through the library’s catalog or discovery system. A serial is a publication in any medium issued in successive parts bearing numerical or chronological designations and intended to be continued indefinitely. This includes, in any physical format, periodicals, newspapers, and annuals (reports, yearbooks, etc.); the journals, memoirs, proceedings, transactions, etc. of societies; and numbered monographic series. Included are only serial titles, not subscriptions."
Description,10,160305,LESERIA,"The number of e-serial titles that are accessible through the library’s catalog or discovery system. An e-serial is a periodical publication that is published in digital form to be displayed on a computer screen. Included are open access (OA) titles if the individual titles are searchable through the library’s catalog or discovery system, except for e-serial titles from HathiTrust, Center for Research Lirbraries, Internet Archive, and similar collections unless the library owns the digitized item and it is accessible under current copyright law."
Description,11,160130,LPCLLCT,"This calculated value is the sum of the number of physical books, media and serials.  Serials were not included prior to 2019."
Description,12,160135,LECLLCT,"This calculated value is the sum of the number of digital/electronic books, databases,  media and e-serials).   E-serials were not included prior to 2019."
Description,13,160136,LTCLLCT,"This calculated value is the sum of the number of  physical books, media, and serials and the number of digital/electronic books, databases, media and serials.  Serials were not included prior to 2019."
Description,14,160140,LPCRCLT,The number of times physical books and media are checked out from the general and reserve collections. Includes initial transactions and renewals.
Description,15,160145,LECRCLT,"The number of times digital/electronic book and media units are ""checked out"" from the general and reserve collections. Includes intitial transactions and renewals."
Description,16,160146,LTCRCLT,"This calculated value is the sum of total physical library circulations (books,  media, serials) and the total digital/electronic circulations (books , databaes, media, serials).   Serials were not included prior to 2019."
Description,17,160310,LILLDYN,"Interlibrary loan is the process by which a library requests material from, or supplies material to, another library"" where ""'material' includes books, audiovisual materials, and other returnable items as well as copies of journal articles, book chapters, excerpts, and other non-returnable items."
Description,18,160210,LILLDPR,The number of filled requests for material provided to other libraries. Include all returnable and non-returnable interlibrary loans and documents.
Description,19,160215,LILLDRC,The number of filled requests for material received from other libraries. Include all returnable and non-returnable interlibrary loans and documents received from commercial services.
Description,20,160325,LILSYN,"Includes full-time equivalent (FTEs) supported from the library budget. Also includes FTEs funded from sources outside of the library budget, if known, if significant, and if specifically for library business,. For example, for staffing counts, full counts for federal work-study students working for the library, are included, maintenance and custodial staff are not included."
Description,21,160330,LSTOTAL,"Includes full-time equivalent (FTEs) supported from the library budget. Also includes FTEs funded from sources outside of the library budget, if known, if significant, and if specifically for library business,. For example, for staffing counts, full counts for federal work-study students working for the library, are included, maintenance and custodial staff are not included.

FTEs for part-time employees and student assistants are computed by taking the total number of hours worked per week by part-time employees in each category as of November 1 of the fiscal year and dividing it by the number of hours considered by the reporting library to be a full-time work week (e.g., 60 hours per week of part- time work divided by 40 hours per full-time week equals 1.50 FTE)."
Description,22,160335,LSLIBRN,"Librarians” are professional staff as defined by NISO: Staff members doing work that requires professional education in the theoretical and scientific aspects of librarianship, archives, or information studies.

FTEs for part-time employees and student assistants are computed by taking the total number of hours worked per week by part-time employees in each category as of November 1 of the fiscal year and dividing it by the number of hours considered by the reporting library to be a full-time work week (e.g., 60 hours per week of part- time work divided by 40 hours per full-time week equals 1.50 FTE)."
Description,23,160340,LSOPROF,"Other professional staff are staff performing professional level tasks who, though not librarians, have equivalent education and training in related fields (e.g., computer sciences, business administration, education).

FTEs for part-time employees and student assistants are computed by taking the total number of hours worked per week by part-time employees in each category as of November 1 of the fiscal year and dividing it by the number of hours considered by the reporting library to be a full-time work week (e.g., 60 hours per week of part- time work divided by 40 hours per full-time week equals 1.50 FTE)."
Description,24,160345,LSOPAID,"All other paid staff (except student assistants) are library staff members without formal qualification (or equivalent combination of training and experience) in librarianship, archives, information studies or other relevant specialization, not included elsewhere.

FTEs for part-time employees and student assistants are computed by taking the total number of hours worked per week by part-time employees in each category as of November 1 of the fiscal year and dividing it by the number of hours considered by the reporting library to be a full-time work week (e.g., 60 hours per week of part- time work divided by 40 hours per full-time week equals 1.50 FTE)."
Description,25,160350,LSSTAST,"Student assistants (graduate and undergraduate), employed on an hourly basis whose wages are paid from funds from the library budget or from an account(s) within the institution, including the Federal Work-Study Program.

FTEs for part-time employees and student assistants are computed by taking the total number of hours worked per week by part-time employees in each category as of November 1 of the fiscal year and dividing it by the number of hours considered by the reporting library to be a full-time work week (e.g., 60 hours per week of part- time work divided by 40 hours per full-time week equals 1.50 FTE)."
Description,26,160150,LBRANCH,"The total number of branch or independent libraries at the institution. Branch and independent libraries are defined as auxiliary library service outlets with quarters separate from the central library of an institution, which have a basic collection of books and other materials, a regular staffing level, and an established schedule. Include virtual/digital-based branch and independent libraries."
Description,27,160155,LSALWAG,"Total salaries and wages expenditures for all full-time and part-time staff, student assistants, and Work-Study students, if paid from the library budget."
Description,28,160160,LFRNGBYN,"The institution selects Yes or No, if they paid fringe benefits from the library budget. Fringe benefits are cash contributions in the form of supplementary or deferred compensation other than salary. Employee fringe benefits include retirement plans, social security taxes, medical/dental plans, unemployment compensation plans, group life insurance plans, worker's compensation plans, and other benefits in-kind with cash options."
Description,29,160165,LFRNGBN,"Total fringe benefits expenditures if paid from the library budget. Fringe benefits are cash contributions in the form of supplementary or deferred compensation other than salary. Employee fringe benefits include retirement plans, social security taxes, medical/dental plans, unemployment compensation plans, group life insurance plans, worker's compensation plans, and other benefits in-kind with cash options."
Description,30,160170,LEXMSBB,"The cost of one-time purchases of books, serial backfiles, and other materials. Includes expenditures for published materials in all formats including archives and special collections, except current subscriptions to serials."
Description,31,160175,LEXMSCS,"The expenditures for ongoing subscriptions to serials in all formats, including duplicates, for all outlets. These are publications issued in successive parts, usually at regular intervals, and, as a rule, intended to be continued indefinitely. Serial subscriptions include periodicals, newspapers, annuals (reports, yearbooks, etc.), memoirs, proceedings, and transactions of societies. Includes the costs of electronic serials bought in aggregations and serial packages."
Description,32,160180,LEXMSOT,This field includes all other materials/services expenditures that are not one-time purchases of materials or ongoing subscriptions. Includes document/interlibrary loan services expenses and other expenditures for information resources.
Description,33,160185,LEXMSTL,"This calculated value is the sum of one-time purchases of books, serial backfiles, and other materials; ongoing commitments to subscriptions; and all other materials/services expenditures."
Description,34,160190,LEXOMPS,"The total expenditures associated with maintaining library and archival materials for use either in their original physical form or in some other usable way. This includes but is not limited to binding and rebinding, materials conservation, de-acidification, lamination, and restoration. Also, include preservation-related contracts for services (e.g. digitization)."
Description,35,160195,LEXOMOT,"This field includes all other operation and maintenance expenditures that are not preservation services. Includes computer hardware, software, and equipment expenses; national, regional, and local bibliographic utilities, networks and consortia fees; and other expenses not reported relating to maintenence."
Description,36,160200,LEXOMTL,This calculated value is the sum of preservation services and all other operation and maintenance expenditures.
Description,37,160205,LEXPTOT,This calculated value is the sum of salaries and wages; fringe benefits; materials/services expenditures; and operations and maintenance expenditures.
Description,38,160206,LSWMSOM,"This calculated value is the sum of salaries and wages; materials/services expenditures; and operations and maintenance expenditures. This variable was not collected or generated inside the IPEDS Data Collection system. It was added after the collection as a new calculated variable that would be consistent with total expenditures from library surveys prior to 2014. Prior to 2014, total expenditures did not include fringe benefits."
Description,39,,,
Description,40,,,
Description,41,,,
Description,42,,,
Description,43,,,
Description,44,,,
Description,45,,,
Description,46,,,
Description,47,,,
Description,48
Description,49
Description,50
Description,51
Description,52
Description,53
Description,54
Description,55
Description,56
Description,57
Description,58
Description,59
Description,60
Description,61
Description,62
Description,63
Description,64
Description,65
Description,66
Description,67
Description,68
Description,69
Description,70
Description,71
Description,72
Description,73
Description,74
Description,75
Description,76
Description,77
Description,78
Description,79
Description,80
Description,81
Description,82
Description,83
Description,84
Description,85
Description,86
Description,87
Description,88
Description,89
Description,90
Description,91
Description,92
Description,93
Description,94
Description,95
Description,96
Description,97
Description,98
Description,99
Description,100
Description,101
Description,102
Description,103
Description,104
Description,105
Description,106
Description,107
Description,108
Description,109
Description,110
Description,111
Description,112
Description,113
Description,114
Description,115
Description,116
Description,117
Description,118
Description,119
Description,120
Description,121
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,160153,LEXP100K,1,"Greater than or equal to $100,000",2857,75.900000000000006
Frequencies,2,160153,LEXP100K,2,"Less than $100,000",907,24.1
Frequencies,3,160100,LCOLELYN,1,Yes,181,4.8099999999999996
Frequencies,4,160100,LCOLELYN,2,No,3583,95.19
Frequencies,5,160310,LILLDYN,1,Yes,2978,79.12
Frequencies,6,160310,LILLDYN,2,No,786,20.88
Frequencies,7,160325,LILSYN,1,Yes,3529,93.76
Frequencies,8,160325,LILSYN,2,No,235,6.24
Frequencies,9,160160,LFRNGBYN,1,Yes,1938,51.49
Frequencies,10,160160,LFRNGBYN,2,No,922,24.5
Frequencies,11,160160,LFRNGBYN,-2,Not applicable,904,24.02
Frequencies,12,,,,,,
Frequencies,13,,,,,,
Frequencies,14,,,,,,
Frequencies,15,,,,,,
Frequencies,16,,,,,,
Frequencies,17,,,,,,
Frequencies,18,,,,,,
Frequencies,19,,,,,,
Frequencies,20,,,,,,
Frequencies,21,,,,,,
Frequencies,22,,,,,,
Frequencies,23,,,,,,
Frequencies,24,,,,,,
Frequencies,25,,,,,,
Frequencies,26,,,,,,
Frequencies,27,,,,,,
Frequencies,28,,,,,,
Frequencies,29,,,,,,
Frequencies,30,,,,,,
Frequencies,31,,,,,,
Frequencies,32,,,,,,
Frequencies,33,,,,,,
Frequencies,34,,,,,,
Frequencies,35,,,,,,
Frequencies,36,,,,,,
Frequencies,37,,,,,,
Frequencies,38,,,,,,
Frequencies,39,,,,,,
Frequencies,40,,,,,,
Frequencies,41,,,,,,
Frequencies,42,,,,,,
Frequencies,43,,,,,,
Frequencies,44,,,,,,
Frequencies,45,,,,,,
Frequencies,46,,,,,,
Frequencies,47,,,,,,
Frequencies,48,,,,,,
Frequencies,49,,,,,,
Frequencies,50,,,,,,
Frequencies,51,,,,,,
Frequencies,52,,,,,,
Frequencies,53,,,,,,
Frequencies,54,,,,,,
Frequencies,55,,,,,,
Frequencies,56,,,,,,
Frequencies,57,,,,,,
Frequencies,58,,,,,,
Frequencies,59,,,,,,
Frequencies,60,,,,,,
Frequencies,61,,,,,,
Frequencies,62,,,,,,
Frequencies,63,,,,,,
Frequencies,64,,,,,,
Frequencies,65,,,,,,
Frequencies,66,,,,,,
Frequencies,67,,,,,,
Frequencies,68,,,,,,
Frequencies,69,,,,,,
Frequencies,70,,,,,,
Frequencies,71,,,,,,
Frequencies,72,,,,,,
Frequencies,73,,,,,,
Frequencies,74,,,,,,
Frequencies,75,,,,,,
Frequencies,76,,,,,,
Frequencies,77,,,,,,
Frequencies,78,,,,,,
Frequencies,79,,,,,,
Frequencies,80,,,,,,
Frequencies,81,,,,,,
Frequencies,82,,,,,,
Frequencies,83,,,,,,
Frequencies,84,,,,,,
Frequencies,85,,,,,,
Frequencies,86,,,,,,
Frequencies,87,,,,,,
Frequencies,88,,,,,,
Frequencies,89,,,,,,
Frequencies,90,,,,,,
Frequencies,91,,,,,,
Frequencies,92,,,,,,
Frequencies,93,,,,,,
Frequencies,94,,,,,,
Frequencies,95,,,,,,
Frequencies,96,,,,,,
Frequencies,97,,,,,,
Frequencies,98,,,,,,
Frequencies,99,,,,,,
Frequencies,100,,,,,,
Frequencies,101,,,,,,
Frequencies,102,,,,,,
Frequencies,103,,,,,,
Frequencies,104,,,,,,
Frequencies,105,,,,,,
Frequencies,106,,,,,,
Frequencies,107,,,,,,
Frequencies,108,,,,,,
Frequencies,109,,,,,,
Frequencies,110,,,,,,
Frequencies,111,,,,,,
Frequencies,112,,,,,,
Frequencies,113,,,,,,
Frequencies,114,,,,,,
Frequencies,115,,,,,,
Frequencies,116,,,,,,
Frequencies,117,,,,,,
Frequencies,118,,,,,,
Frequencies,119,,,,,,
Frequencies,120,,,,,,
Frequencies,121,,,,,,
Frequencies,122,,,,,,
Frequencies,123,,,,,,
Frequencies,124,,,,,,
Frequencies,125,,,,,,
Frequencies,126,,,,,,
Frequencies,127,,,,,,
Frequencies,128,,,,,,
Frequencies,129,,,,,,
Frequencies,130,,,,,,
Frequencies,131,,,,,,
Frequencies,132,,,,,,
Frequencies,133,,,,,,
Frequencies,134,,,,,,
Frequencies,135,,,,,,
Frequencies,136,,,,,,
Frequencies,137,,,,,,
Frequencies,138,,,,,,
Frequencies,139,,,,,,
Frequencies,140,,,,,,
Frequencies,141,,,,,,
Frequencies,142,,,,,,
Frequencies,143,,,,,,
Frequencies,144,,,,,,
Frequencies,145,,,,,,
Frequencies,146,,,,,,
Frequencies,147,,,,,,
Frequencies,148,,,,,,
Frequencies,149,,,,,,
Frequencies,150,,,,,,
Frequencies,151,,,,,,
Frequencies,152,,,,,,
Frequencies,153,,,,,,
Frequencies,154,,,,,,
Frequencies,155,,,,,,
Frequencies,156,,,,,,
Frequencies,157,,,,,,
Frequencies,158,,,,,,
Frequencies,159,,,,,,
Frequencies,160,,,,,,
Frequencies,161,,,,,,
Frequencies,162,,,,,,
Frequencies,163,,,,,,
Frequencies,164,,,,,,
Frequencies,165,,,,,,
Frequencies,166,,,,,,
Frequencies,167,,,,,,
Frequencies,168,,,,,,
Frequencies,169,,,,,,
Frequencies,170,,,,,,
Frequencies,171,,,,,,
Frequencies,172,,,,,,
Frequencies,173,,,,,,
Frequencies,174,,,,,,
Frequencies,175,,,,,,
Frequencies,176,,,,,,
Frequencies,177,,,,,,
Frequencies,178,,,,,,
Frequencies,179,,,,,,
Frequencies,180,,,,,,
Frequencies,181,,,,,,
Frequencies,182,,,,,,
Frequencies,183,,,,,,
Frequencies,184,,,,,,
Frequencies,185,,,,,,
Frequencies,186,,,,,,
Frequencies,187,,,,,,
Frequencies,188,,,,,,
Frequencies,189,,,,,,
Frequencies,190,,,,,,
Frequencies,191,,,,,,
Frequencies,192,,,,,,
Frequencies,193,,,,,,
Frequencies,194,,,,,,
Frequencies,195,,,,,,
Frequencies,196,,,,,,
Frequencies,197,,,,,,
Frequencies,198,,,,,,
Frequencies,199,,,,,,
Frequencies,200,,,,,,
Frequencies,201,,,,,,
Frequencies,202,,,,,,
Frequencies,203,,,,,,
Frequencies,204,,,,,,
Frequencies,205,,,,,,
Frequencies,206,,,,,,
Frequencies,207,,,,,,
Frequencies,208,,,,,,
Frequencies,209,,,,,,
Frequencies,210,,,,,,
Frequencies,211,,,,,,
Frequencies,212,,,,,,
Frequencies,213,,,,,,
Frequencies,214,,,,,,
Frequencies,215,,,,,,
Frequencies,216,,,,,,
Frequencies,217,,,,,,
Frequencies,218,,,,,,
